PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
29,27,Michael Harris II,ATL,146,630,25,82,85,20,5.8%,19.4%,0.197,0.324,0.288,0.334,0.486,0.35,124,1.1,19.2,2.3,4.4,0.03968253968253968,0.1349206349206349,0.13015873015873017,0.006984126984126985
30,26,Junior Caminero,TBR,146,630,33,79,91,4,5.5%,22.1%,0.22,0.301,0.271,0.314,0.492,0.343,129,-0.8,20.0,1.9,4.4,0.05238095238095238,0.14444444444444443,0.1253968253968254,0.006984126984126985
31,28,Oneil Cruz,PIT,146,630,33,86,94,20,8.9%,28.6%,0.237,0.321,0.261,0.33,0.498,0.353,124,1.2,19.5,1.9,4.4,0.05238095238095238,0.1492063492063492,0.1365079365079365,0.006984126984126985
32,47,Francisco Alvarez,NYM,130,516,25,62,70,2,9.9%,24.5%,0.212,0.271,0.237,0.32,0.449,0.332,116,-0.9,9.2,8.2,3.6,0.04844961240310078,0.13565891472868216,0.12015503875968993,0.0069767441860465115
33,97,Iván Herrera,STL,99,392,10,47,39,6,11.9%,21.2%,0.144,0.305,0.254,0.349,0.398,0.33,113,-0.3,5.8,7.0,2.7,0.025510204081632654,0.09948979591836735,0.11989795918367346,0.0068877551020408165
34,31,Bo Bichette,TOR,143,616,18,71,72,11,6.1%,18.5%,0.158,0.324,0.283,0.33,0.441,0.333,119,-0.1,13.3,6.6,4.2,0.02922077922077922,0.11688311688311688,0.11525974025974026,0.006818181818181819
35,24,Bryce Harper,PHI,154,665,32,90,100,11,12.6%,21.7%,0.234,0.315,0.277,0.371,0.511,0.377,143,-0.7,33.4,-12.1,4.5,0.0481203007518797,0.15037593984962405,0.13533834586466165,0.006766917293233083
36,29,Ketel Marte,ARI,147,637,26,86,85,7,10.0%,17.7%,0.206,0.296,0.272,0.349,0.478,0.355,127,-0.6,19.9,0.7,4.3,0.04081632653061224,0.13343799058084774,0.13500784929356358,0.006750392464678179
37,86,Ryan Jeffers,MIN,104,417,18,51,56,3,8.4%,23.0%,0.205,0.283,0.247,0.324,0.452,0.335,120,-0.6,8.9,4.1,2.8,0.04316546762589928,0.1342925659472422,0.1223021582733813,0.00671462829736211
38,25,Willy Adames,SFG,156,672,28,80,92,14,9.9%,24.3%,0.201,0.298,0.252,0.327,0.453,0.336,118,-0.4,13.8,7.2,4.5,0.041666666666666664,0.13690476190476192,0.11904761904761904,0.006696428571428571
39,37,Adley Rutschman,BAL,146,586,15,69,61,3,11.3%,15.5%,0.147,0.289,0.261,0.347,0.409,0.331,119,-1.2,11.8,6.2,3.9,0.025597269624573378,0.10409556313993173,0.11774744027303755,0.0066552901023890785
40,38,Royce Lewis,MIN,134,581,28,71,83,8,8.3%,23.3%,0.214,0.3,0.262,0.326,0.476,0.343,126,-0.3,16.9,0.7,3.8,0.04819277108433735,0.14285714285714285,0.12220309810671257,0.006540447504302925
41,45,Byron Buxton,MIN,131,567,31,74,90,11,7.1%,27.6%,0.247,0.292,0.249,0.314,0.496,0.345,127,0.3,17.7,-1.0,3.7,0.054673721340388004,0.15873015873015872,0.13051146384479717,0.006525573192239859
42,63,Gabriel Moreno,ARI,130,514,9,60,50,6,9.3%,16.2%,0.127,0.32,0.279,0.35,0.406,0.331,111,-0.7,6.0,8.8,3.3,0.017509727626459144,0.09727626459143969,0.11673151750972763,0.006420233463035019
